<Trait>	PC1	PC2	PC3	PC4
OH43E	3.87933980107557	-14.9783590918219	-1.11191467870512	-27.791109086922
OH603	30.8470729035846	-0.0791455116543446	7.32218537249121	4.23430508003012
OH7B	15.775777697039	7.18962041744589	17.8563030965527	-4.67249057873638
OQ403	6.54402606383039	4.76904518881899	-2.65550569579369	-30.4917462031769
OS420	-10.5568102021272	-8.49430638796134	-10.1202584237662	-19.3542219795122
P39GOODMAN-BUCKLER	-11.5821806783822	-21.7857906364164	-6.52784538469078	-13.6443843164045
PA762	61.8059230390698	8.72488634587532	1.98972145912222	-8.23842105503804
PA875	3.84152497901327	-8.91160473369977	-8.05343080061132	-7.31228997153589
PA880	18.0978405146707	-1.40310906840918	-0.770869389209189	-17.1609417214965
PA91	-5.57834814383548	-13.3597257807746	-6.58741188321591	-24.9456526751625
PB80	-128.318446582761	59.2317528735206	-18.1596097146454	-0.693846276184274
PHG35	14.3746671179164	0.412462677524558	38.6776303487849	-7.95765753592224
PHG39	-32.212380171675	22.2245590682537	23.7284347643664	1.24790603091454
PHG47	18.5199311074299	-1.37862251623901	1.63145869367191	-26.4490719289499
PHG50	42.6328821838969	9.20282585929525	23.087198904529	-22.5723858077911
PHG71	-19.0553164328732	14.6671034113266	39.5431917529042	-9.38584923879915
PHG72	-3.35640301325726	8.63898185495845	9.40469143599135	-32.1189042675134
PHG83	-8.83290230092583	-7.33182278004575	13.2835001311167	-26.6929498081278
PHG84	45.7263392235915	8.12880074998193	1.5072657508793	-15.7294157228197
PHG86	-55.2786442705368	52.833070257985	-3.59016016263195	10.105291120263
PHH93	-3.77516171271098	-8.1028788056191	47.4873559362624	-18.4948837520419
PHJ40	-21.6619529151656	-9.86280010347259	20.4573996673403	-16.7955168556422
PHK76	-1.710958697088	-17.5730870568905	62.5847968290489	0.338468964511201
PHN11	-2.25124730451492	-4.91809617908907	42.3638881760414	-16.0283437281488
PHR36	-6.56693569970191	-17.73831069086	-13.5045941906272	-23.6845127408921
PHT77	-13.4195921251112	-13.8745479179244	64.5556694843761	-0.385717412265396
PHV63	31.5952934810675	25.7818833064736	-7.56394242401685	-10.4513201451729
PHW17	16.871908563533	55.6435697894847	2.04288569579887	4.08821678116955
PHW43	-16.2566335823977	-10.8918140531178	34.4446066425301	-12.1696475875829
PHW65	-39.4726260236679	-25.9742554648025	-8.74931324775281	-29.3564502538794
PHWG5	-11.6207143798319	-15.2860271732365	11.0312697088815	-20.8147044529642
PHZ51	-0.102701048391134	-14.0260856353378	-5.09846683086346	-18.5696246155245
POP-N-EAT	-50.3577380658849	-37.0041552101869	-12.8174766627041	0.936412456699303
Q381	70.8834422547128	17.7674940879583	9.03440300600181	-15.7853320737077
R109B	-20.0295696141824	-16.786523410848	-4.04224354549222	-1.83170093037122
R168	5.65448273053093	-5.62883517304744	-22.4607033989782	-13.9659163715733
R177	65.8798497501267	15.6587204569961	-10.5010624970758	-2.22217179804478
R229	36.1277236803071	52.6508967674921	-1.97593454308174	15.3032058567644
R4	59.2168698508444	17.8931628698226	-3.6607270431636	-4.65559763570357
RS710	-26.9501301824109	-1.91735906356407	43.685684395139	8.19447243772615
S8324	-65.0456462770935	38.8419179418118	54.6218360309974	29.5173256057818
S8326	-76.5859959872312	-62.1359252007044	34.1695493126871	-13.9550969398771
SA24	44.5144679773606	0.76162289056152	-2.65969795482056	-9.88038057248671
SC213R	-5.17825922007294	-4.11144236990008	-18.4225125607224	-22.5055555025566
SC357	39.0831664072652	6.49651176548336	-6.43266951994924	-6.73547816999089
SC55	-15.2088530457509	-27.3041153813606	-15.0882448317955	-6.35343131745569
SD40	-6.35476713172324	5.73717182262792	8.27431344493213	-7.73855402085488
SD44	-8.38276884565236	-11.1161073039605	-8.31205953810651	-27.2524172056122
SEAGULLSEVENTEEN	-35.8528479084753	-39.5595077293848	48.2776338068464	-16.2337009892532
SG1533	-25.7147633498562	-32.9060406207716	9.44167710119019	9.83869323606181
